"","x"
"1",0.5196
"2",0.1898
"3",0.3132
"4",0.5376
"5",1.2286
"6",0.9565
"7",0.4505
"8",0.3794
"9",0.3794
"10",0.4979
"11",0.388
"12",0.1603
"13",0.4645
"14",0.2726
"15",0.401
"16",0.3119
"17",0.3328
"18",0.1255
"19",0.3314
"20",0.4757
"21",0.1619
"22",0.2537
"23",0.2858
"24",0.18
"25",1.3355
"26",0.7414
"27",0.3353
"28",0.3912
"29",0.2193
"30",0.041
"31",0.1714
"32",0.1691
"33",0.5312
"34",1.0373
"35",0.715
"36",0.5388
"37",1.1459
"38",0.5964
"39",0.3488
"40",0.7013
"41",0.3131
"42",0.0122
"43",0.3042
"44",0.3936
"45",0.2498
"46",0.3851
"47",0.6019
"48",0.6099
"49",0.6596
"50",-0.0662
"51",0.1467
"52",0.4668
"53",0.3471
"54",0.228
"55",0.1343
"56",0.2677
"57",0.547
"58",0.802
"59",0.6764
"60",0.8202
"61",1.1484
"62",0.2213
"63",-0.1747
"64",0.2754
"65",0.0974
"66",0.3168
"67",-0.1312
"68",0.2245
"69",0.2496
"70",0.4821
"71",0.461
"72",0.6484
"73",0.9389
"74",0.5204
"75",0.7395
"76",0.5342
"77",0.2507
"78",0.0392
"79",0.1625
"80",0.3375
"81",0.2056
"82",0.3717
"83",0.6916
"84",0.2953
"85",1.6215
"86",1.2202
"87",0.6964
"88",1.1021
"89",0.6151
"90",0.4656
"91",0.846
"92",0.5637
"93",0.6648
"94",0.8787
"95",1.0577
"96",0.8196
"97",1.3659
"98",0.8889
"99",0.9732
"100",0.4593
"101",0.5691
"102",0.648
"103",0.3472
"104",0.1059
"105",-0.1394
"106",0.2741
"107",0.151
"108",0.7171
"109",0.323
"110",-0.0824
"111",0.1359
"112",0.6069
"113",-0.0488
"114",0.051
"115",-0.0125
"116",0.0967
"117",0.0184
"118",0.3224
"119",0.2889
"120",0.5495
"121",0.4629
"122",-0.4166
"123",0.0032
"124",-0.026
"125",0.1947
"126",1.0102
"127",0.2283
